Sample,Var2,Var3,Var4,Var5,Var6,Var7,FAMCICLOVIR_237_123Results,Var15,IS_CAFFEINEResults,Var39,IS_YOHIMBINEResults,Var41,IS_SULFAMETHOXAZOLEResults,Var45,DILTIAZEMHYDROCHLORIDE_372_151Results,Var57,DEXAMETHASONE_332_179Results,Var121,NORETHINDRONEACETATE_342_221Results,Var157
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ012D-P1-MV16C-T24,MZ012D-P1-MV16C-T24.d,Sample,,7/28/2018 5:54 AM,0.786,353348,1.938,1118105,1.938,9977995,2.128,4008852,2.475,3928775,3.885,81222,5.272,15979
!,!,MZ012D-P1-MV16D-T24,MZ012D-P1-MV16D-T24.d,Sample,,7/28/2018 6:00 AM,0.785,375055,1.959,1138546,1.970,10526021,2.161,4281827,2.507,4553517,3.917,101956,5.215,2753
!,!,MZ012D-P1-MV17A-T24,MZ012D-P1-MV17A-T24.d,Sample,,7/28/2018 6:07 AM,0.776,168583,1.939,1412352,1.939,9107286,2.129,4401078,2.476,5237834,3.886,11256,5.183,2257
!,!,MZ012D-P1-MV17B-T24,MZ012D-P1-MV17B-T24.d,Sample,,7/28/2018 6:13 AM,0.787,171450,1.962,1329907,1.962,9377214,2.163,4392575,2.510,5008303,3.931,12315,5.295,27157
!,!,MZ012D-P1-MV17C-T24,MZ012D-P1-MV17C-T24.d,Sample,,7/28/2018 6:19 AM,0.763,123194,1.938,1418173,1.938,8842685,2.128,4309348,2.475,4760724,3.896,11821,5.272,29085
!,!,MZ012D-P1-MV17D-T24,MZ012D-P1-MV17D-T24.d,Sample,,7/28/2018 6:26 AM,0.788,168297,1.963,1348612,1.963,9677241,2.164,4496656,2.511,4876104,3.920,11173,5.296,36445
!,!,MZ012D-P1-MV18A-T24,MZ012D-P1-MV18A-T24.d,Sample,,7/28/2018 6:32 AM,0.776,247078,1.939,1167322,1.939,10054832,2.140,4348005,2.487,1067325,3.897,39677,4.859,7949
!,!,MZ012D-P1-MV18B-T24,MZ012D-P1-MV18B-T24.d,Sample,,7/28/2018 6:39 AM,0.785,219808,1.960,1137101,1.971,9945715,2.161,4170221,2.508,1095684,3.918,52180,4.891,7354
!,!,MZ012D-P1-MV18C-T24,MZ012D-P1-MV18C-T24.d,Sample,,7/28/2018 6:45 AM,0.752,218590,1.938,1132217,1.938,9737043,2.140,4212134,2.486,1049415,3.896,52375,5.205,3851
!,!,MZ012D-P1-MV18D-T24,MZ012D-P1-MV18D-T24.d,Sample,,7/28/2018 6:52 AM,0.788,258524,1.952,1158614,1.963,10222700,2.164,4319602,2.511,1191377,3.920,83332,5.185,2407
!,!,MZ012D-P1-MV19A-T24,MZ012D-P1-MV19A-T24.d,Sample,,7/28/2018 6:58 AM,0.761,92300,1.936,1388243,1.936,8869028,2.137,4470918,2.484,1158295,4.900,1264,5.269,22017
!,!,MZ012D-P1-MV19B-T24,MZ012D-P1-MV19B-T24.d,Sample,,7/28/2018 7:05 AM,0.773,76694,1.959,1385608,1.970,8975275,2.160,4486640,2.507,962418,4.968,1555,5.292,20445
!,!,MZ012D-P1-MV19C-T24,MZ012D-P1-MV19C-T24.d,Sample,,7/28/2018 7:11 AM,0.760,76451,1.935,1369438,1.946,8770500,2.136,4594378,2.483,959369,3.893,1106,5.269,10155
!,!,MZ012D-P1-MV19D-T24,MZ012D-P1-MV19D-T24.d,Sample,,7/28/2018 7:17 AM,0.774,70857,1.960,1325217,1.971,8828201,2.161,4481217,2.508,950459,4.902,1775,4.891,6003
