ID;MV01;MV02;MV03;MV04;MV05;MV06;MV07;MV08;MV09;MV10;MV11;MV12;MV13;MV14;MV15;MV16;MV17;MV18;MV19;MV20;MV21;MV22;MV23;MV24;MV25;MV26;MV27;MV28
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum;0.08549;17.34739;0.73637;0;0.93419;0.68265;7.02523;1.15206;0;0.90863;5.05611;6.17208;12.44389;0;5.86391;0.87411;0;0.41858;1.72476;1.52463;0;0;0.0131;0.26014;2.46416;0;0.00251;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified;0.08549;17.34739;0.73637;0;0.93419;0.68265;7.02523;1.15206;0;0.90863;5.05611;6.17208;12.44389;0;5.86391;0.87411;0;0.41858;1.72476;1.52463;0;0;0.0131;0.26014;2.46416;0;0.00251;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum;0.14652;1.34249;0.08982;0;5.81739;0;7.84308;0;0;0.92208;0.28214;23.40072;2.49024;0;0;0;0;0;1.59181;0;0;6.63888;0.03223;0.03835;0.87857;0;20.87895;1.51289
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum|t__GCF_000173435;0.14652;1.34249;0.08982;0;5.81739;0;7.84308;0;0;0.92208;0.28214;23.40072;2.49024;0;0;0;0;0;1.59181;0;0;6.63888;0.03223;0.03835;0.87857;0;20.87895;1.51289
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales;1.06456;1.60157;2.2186;0.80432;0;1.47921;1.64559;3.77557;2.959;4.32192;3.86147;12.33833;6.80638;4.1777;2.34047;1.25195;0.09126;2.42653;4.97711;5.53083;3.04341;15.32253;1.68435;0.61347;3.67574;2.71696;8.04942;3.57084
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae;1.06456;1.60157;2.2186;0.80432;0;1.47921;1.64559;3.77557;2.959;4.32192;3.86147;12.33833;6.80638;4.1777;2.34047;1.25195;0.09126;2.42653;4.97711;5.53083;3.04341;15.32253;1.68435;0.61347;3.67574;2.71696;8.04942;3.57084
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia;0.0151;0.11236;0.00716;0.30024;0;0;0.19174;0.13135;0.17175;0.00597;0.00061;0.17937;0;0.01038;0.23695;0.21781;0.00335;0.00629;0;0;0.1881;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens;0.0151;0.11236;0.00716;0.30024;0;0;0.19174;0.13135;0.17175;0.00597;0.00061;0.17937;0;0.01038;0.23695;0.21781;0.00335;0.00629;0;0;0.1881;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens|t__GCF_000478885;0.0151;0.11236;0.00716;0.30024;0;0;0.19174;0.13135;0.17175;0.00597;0.00061;0.17937;0;0.01038;0.23695;0.21781;0.00335;0.00629;0;0;0.1881;0;0;0;0;0;0;0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella;0.90623;0.78779;2.17569;0;0;0;0.04553;3.15245;2.62829;3.10942;3.84138;11.55787;6.75523;4.16646;1.62962;0;0;2.41717;4.93847;5.52578;2.55179;14.74094;0.3973;0.61347;2.8342;1.02027;7.28952;2.86855
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens;0.90623;0.62681;2.17569;0;0;0;0.04553;3.15245;2.62829;3.10942;3.84138;11.55787;6.75523;4.16646;1.62962;0;0;2.41717;4.93847;5.52578;2.55179;0;0.3973;0.61347;2.46524;1.02027;0;2.86855
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens|t__GCF_000169035;0.90623;0.62681;2.17569;0;0;0;0.04553;3.15245;2.62829;3.10942;3.84138;11.55787;6.75523;4.16646;1.62962;0;0;2.41717;4.93847;5.52578;2.55179;0;0.3973;0.61347;2.46524;1.02027;0;2.86855
