# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.S083_2017_Jun_06_19_20_39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Tue Jun 06 19:27:02 EDT 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MZ002H-Pool01-P008B3-S083-T00(raw),MZ002H-Pool01-P008B3-S083-T12(raw),MZ002H-Pool02-P008B3-S083-T00(raw),MZ002H-Pool02-P008B3-S083-T12(raw),MZ002H-Pool03-P008B3-S083-T00(raw),MZ002H-Pool03-P008B3-S083-T12(raw),MZ002H-Pool04-P008B3-S083-T00(raw),MZ002H-Pool04-P008B3-S083-T12(raw),MZ002H-Pool05-P008B3-S083-T00(raw),MZ002H-Pool05-P008B3-S083-T12(raw),MZ002H-Pool06-P008B3-S083-T00(raw),MZ002H-Pool06-P008B3-S083-T12(raw),MZ002H-Pool07-P008B3-S083-T00(raw),MZ002H-Pool07-P008B3-S083-T12(raw),MZ002H-Pool08-P008B3-S083-T00(raw),MZ002H-Pool08-P008B3-S083-T12(raw),MZ002H-Pool09-P008B3-S083-T00(raw),MZ002H-Pool09-P008B3-S083-T12(raw),MZ002H-Pool10-P008B3-S083-T00(raw),MZ002H-Pool10-P008B3-S083-T12(raw),MZ002H-Pool11-P008B3-S083-T00(raw),MZ002H-Pool11-P008B3-S083-T12(raw),MZ002H-Pool12-P008B3-S083-T00(raw),MZ002H-Pool12-P008B3-S083-T12(raw),MZ002H-Pool13-P008B3-S083-T00(raw),MZ002H-Pool13-P008B3-S083-T12(raw),MZ002H-Pool14-P008B3-S083-T00(raw),MZ002H-Pool14-P008B3-S083-T12(raw),MZ002H-Pool15-P008B3-S083-T00(raw),MZ002H-Pool15-P008B3-S083-T12(raw),MZ002H-Pool16-P008B3-S083-T00(raw),MZ002H-Pool16-P008B3-S083-T12(raw),MZ002H-Pool17-P008B3-S083-T00(raw),MZ002H-Pool17-P008B3-S083-T12(raw),MZ002H-Pool18-P008B3-S083-T00(raw),MZ002H-Pool18-P008B3-S083-T12(raw),MZ002H-Pool19-P008B3-S083-T00(raw),MZ002H-Pool19-P008B3-S083-T12(raw),MZ002H-Pool20-P008B3-S083-T00(raw),MZ002H-Pool20-P008B3-S083-T12(raw),MZ002H-Pool21-P008B3-S083-T00(raw),MZ002H-Pool21-P008B3-S083-T12(raw),MZ002H-Pool97-P008B3-S083-T00(raw),MZ002H-Pool97-P008B3-S083-T12(raw),MZ002H-Pool98-P008B3-S083-T00(raw),MZ002H-Pool98-P008B3-S083-T12(raw),MZ002H-Pool99-P008B3-S083-T00(raw),MZ002H-Pool99-P008B3-S083-T12(raw),Compound Name,Mass,Retention Time,Frequency,Ionization mode,CompositeSpectrum
829.812@0.3708125,23168,22429,21895,22666,22795,25617,24980,20774,27520,24434,22854,25195,24914,25847,25429,26752,27371,20073,25420,25443,23420,25059,25871,26611,27079,23066,26210,24002,27065,22275,27555,25956,23814,23095,26358,25044,25983,25069,25828,22372,26096,26059,24911,25259,27006,26801,26199,25486,829.812@0.3708125,829.812,0.3708125,48,+,"(852.8074, 489.7)(830.8191, 6529.66)(831.8222, 1549.85)(832.817, 3027.05)(833.8196, 716.45)(834.8113, 954.83)(868.7773, 534.14)"
373.9663@0.3716458,159162,197808,185188,176481,184531,187550,190353,173169,187388,171721,188889,176507,188784,181894,190499,172812,198375,178733,193832,178426,190145,177752,192878,174478,185558,176860,187830,168897,193350,176112,191804,178247,189263,174583,194699,180051,193339,177764,185968,178828,191204,180066,194737,175706,178008,177458,186136,182037,373.9663@0.3716458,373.9663,0.3716458,48,+,"(374.9735, 59181.21)(375.9762, 4902.6)(376.9715, 12170.33)(377.9751, 1160.09)(378.9764, 1175.05)"
525.915@0.3720833,73500,86759,83321,79169,86148,82606,88468,78713,87471,80407,85415,80688,87442,84149,86921,79914,88391,79097,88604,78727,86541,78785,84552,78235,85855,81726,84610,78536,89370,79942,87130,79508,86230,77416,86807,76618,87281,80579,83026,83261,82503,81201,87537,82564,82810,81695,84797,84760,525.915@0.3720833,525.915,0.3720833,48,+,"(526.9221, 25818.97)(527.9252, 2865.96)(528.9205, 7642.74)(529.9273, 1026.2)(530.9188, 837.74)"
765.7518@0.3729535,1,1,20397,19510,21749,17097,20737,19161,18107,20731,18680,17820,20903,18680,18923,19442,19935,1,20165,19156,19173,19773,18414,18465,19922,1,20538,18437,19543,19208,18813,17088,1,16436,17770,17929,21250,20362,18153,18795,18364,19444,17812,18392,19623,18868,19444,18732,765.7518@0.3729535,765.7518,0.3729535,43,+,"(766.7593, 5515.19)(767.7589, 869.42)(768.76, 2406.72)(769.7655, 645.05)(770.7448, 751.93)"
305.9785@0.37304172,36088,46275,41541,39454,41044,42994,42615,37697,42928,39733,40048,39097,42382,40435,40107,38802,43872,39900,42475,40051,41140,38573,42722,41252,41019,42449,41236,37374,42588,38903,44370,39730,39050,38350,42599,40574,41825,40646,43803,40665,41793,39517,39663,40131,41570,39033,39817,40029,305.9785@0.37304172,305.9785,0.37304172,48,+,"(306.9857, 13004.19)(307.9885, 1058.78)(308.9838, 2728.89)(309.9882, 161.28)"
761.8254@0.37249997,28184,32975,34992,28537,34881,35475,34902,32487,34924,30972,35034,33434,36394,33403,35851,34676,38414,31903,35901,34947,36572,32924,36258,34387,34938,32674,34287,28722,36517,33808,37289,33680,33223,27134,33418,33514,36129,33730,33930,29177,35335,32596,34893,33845,34377,35065,34794,34458,761.8254@0.37249997,761.8254,0.37249997,48,+,"(784.8172, 591.16)(762.8327, 9326.05)(763.8348, 1784.52)(764.8303, 4498.91)(765.8424, 1041.59)(766.8317, 1164.28)(800.7912, 760.62)"
457.927@0.37406382,34449,46741,43405,37776,39617,41350,43744,37965,44346,38093,42553,40125,43793,39862,42137,38544,43495,39263,43700,42830,44230,39037,44478,40706,41396,37393,41750,38676,44882,42042,43227,41932,41733,1,43244,39352,41530,38872,44201,38308,42754,43136,42615,38561,41441,42966,40905,39587,457.927@0.37406382,457.927,0.37406382,47,+,"(458.9349, 12399.67)(459.9371, 1474.41)(460.9326, 3878.08)(461.9446, 433.39)(462.9327, 553.28)(496.8949, 2039.35)"
865.6876@0.3737291,53564,36693,54402,46803,55734,46581,54894,50810,49067,49017,54103,43691,51257,48992,50785,49806,50344,45404,54856,48500,50603,51358,47508,48446,50110,50502,48048,47358,53341,51845,51776,49400,47915,42648,46061,45706,52826,47559,48456,48282,49596,52993,47799,45870,51039,50236,52265,49366,865.6876@0.3737291,865.6876,0.3737291,48,+,"(866.6946, 13242.93)(867.6972, 2140.44)(868.6935, 5840.99)(869.7071, 1173.66)(870.6926, 1357.7)(871.6861, 144.67)(904.6539, 703.1)(905.6733, 640.28)(906.6303, 2471.43)"
241.9182@0.37362504,122215,97985,127885,118556,128147,110649,119078,122852,110007,117981,121414,114516,120644,115834,116487,115745,123087,113845,119208,120649,121976,120840,116367,116047,121611,110185,116169,113525,120248,125507,120958,114195,113018,111586,109712,114406,118420,116930,111939,122026,121673,122600,109378,118273,121974,122046,119359,118805,241.9182@0.37362504,241.9182,0.37362504,48,+,"(242.9255, 48044.52)(243.9287, 1418.71)(244.924, 3381.78)"
609.8765@0.3731875,92268,111060,106017,103220,104731,106033,104743,100407,106095,99095,108067,99207,108088,101898,102882,99831,107580,101426,107820,102069,105853,100389,107148,103414,103994,104844,106477,97119,112492,101852,109515,103863,104896,97069,107502,99331,108970,100106,103303,101397,107771,103081,105348,104463,106124,99437,104301,105163,609.8765@0.3731875,609.8765,0.3731875,48,+,"(610.8836, 31898.09)(611.8862, 3761.79)(612.8816, 11493.7)(613.8855, 1375.64)(614.8802, 1658.91)(648.8419, 712.72)"
