# Notes : All Entities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Technology : MassHunterQual.UNIDENTIFIED_COMPOUNDS.S082_2017_Jun_06_19_10_29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Owner : gxuser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Created On : Tue Jun 06 19:17:20 EDT 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compound,MZ002H-Pool01-P008B2-S082-T00(raw),MZ002H-Pool01-P008B2-S082-T12(raw),MZ002H-Pool02-P008B2-S082-T00(raw),MZ002H-Pool02-P008B2-S082-T12(raw),MZ002H-Pool03-P008B2-S082-T00(raw),MZ002H-Pool03-P008B2-S082-T12(raw),MZ002H-Pool04-P008B2-S082-T00(raw),MZ002H-Pool04-P008B2-S082-T12(raw),MZ002H-Pool05-P008B2-S082-T00(raw),MZ002H-Pool05-P008B2-S082-T12(raw),MZ002H-Pool06-P008B2-S082-T00(raw),MZ002H-Pool06-P008B2-S082-T12(raw),MZ002H-Pool07-P008B2-S082-T00(raw),MZ002H-Pool07-P008B2-S082-T12(raw),MZ002H-Pool08-P008B2-S082-T00(raw),MZ002H-Pool08-P008B2-S082-T12(raw),MZ002H-Pool09-P008B2-S082-T00(raw),MZ002H-Pool09-P008B2-S082-T12(raw),MZ002H-Pool10-P008B2-S082-T00(raw),MZ002H-Pool10-P008B2-S082-T12(raw),MZ002H-Pool11-P008B2-S082-T00(raw),MZ002H-Pool11-P008B2-S082-T12(raw),MZ002H-Pool12-P008B2-S082-T00(raw),MZ002H-Pool12-P008B2-S082-T12(raw),MZ002H-Pool13-P008B2-S082-T00(raw),MZ002H-Pool13-P008B2-S082-T12(raw),MZ002H-Pool14-P008B2-S082-T00(raw),MZ002H-Pool14-P008B2-S082-T12(raw),MZ002H-Pool15-P008B2-S082-T00(raw),MZ002H-Pool15-P008B2-S082-T12(raw),MZ002H-Pool16-P008B2-S082-T00(raw),MZ002H-Pool16-P008B2-S082-T12(raw),MZ002H-Pool17-P008B2-S082-T00(raw),MZ002H-Pool17-P008B2-S082-T12(raw),MZ002H-Pool18-P008B2-S082-T00(raw),MZ002H-Pool18-P008B2-S082-T12(raw),MZ002H-Pool19-P008B2-S082-T00(raw),MZ002H-Pool19-P008B2-S082-T12(raw),MZ002H-Pool20-P008B2-S082-T00(raw),MZ002H-Pool20-P008B2-S082-T12(raw),MZ002H-Pool21-P008B2-S082-T00(raw),MZ002H-Pool21-P008B2-S082-T12(raw),MZ002H-Pool97-P008B2-S082-T00(raw),MZ002H-Pool97-P008B2-S082-T12(raw),MZ002H-Pool98-P008B2-S082-T00(raw),MZ002H-Pool98-P008B2-S082-T12(raw),MZ002H-Pool99-P008B2-S082-T00(raw),MZ002H-Pool99-P008B2-S082-T12(raw),Compound Name,Mass,Retention Time,Frequency,Ionization mode,CompositeSpectrum
360.1152@0.35809684,1,1,1,1,28521,32271,28862,28456,28304,1,30819,28408,28875,1,30429,1,25240,24172,25875,1,1,1,23481,28465,26599,31434,25460,31470,29370,26695,1,1,25827,1,20997,1,1,27410,26291,1,1,28882,22675,31707,28138,22810,27969,29642,360.1152@0.35809684,360.1152,0.35809684,31,+,"(361.1231, 15284.25)(362.1265, 2040.8)(363.1162, 5650.26)"
362.073@0.36052173,43699,1,49181,1,1,1,1,55980,42579,80395,1,1,1,68848,48319,76075,46727,68459,1,1,49223,1,50361,1,1,1,1,1,50425,1,56744,80366,1,75358,1,1,52376,1,47997,81156,1,1,53774,1,1,81410,47454,86781,362.073@0.36052173,362.073,0.36052173,23,+,"(363.0809, 38436.57)(364.0833, 4002.59)(365.0789, 5932.41)(366.0856, 769.82)(367.0805, 516.72)"
414.0866@0.35977775,20600,30338,1,24154,20294,18667,22133,22181,21594,35011,19711,33594,23702,27982,19984,32828,22284,27564,21089,22631,22299,23635,21084,32909,21923,30948,22905,33783,20805,28435,25254,31743,21896,31668,21220,32880,25131,30708,21873,36314,22674,32200,1,40094,1,36226,21844,35809,414.0866@0.35977775,414.0866,0.35977775,45,+,"(415.0943, 18225.24)(416.0967, 2422.04)(417.0934, 1685.09)"
168.0874@0.35980433,140024,129735,132656,131473,142004,1,142597,128053,388008,65011,127094,133783,65517,130614,137705,398899,130606,394648,63321,47664,141259,132335,135013,131362,120078,122871,118242,129083,67711,128422,136250,131962,128961,127909,120409,130774,135330,132241,129831,131582,125412,1,129883,125127,66701,125506,134015,137280,168.0874@0.35980433,168.0874,0.35980433,46,+,"(191.0766, 29264.68)(192.0796, 1941.62)(359.1627, 1051.07)(169.0945, 28562.4)(170.0975, 2301.38)(171.1016, 4648.03)(207.0509, 92663.5)(208.0536, 6027.1)(375.1374, 3917.24)"
498.0481@0.3617907,12135,15754,14601,15416,13995,13100,1,13807,12270,20853,1,19381,14021,16888,14321,16329,13976,16689,13807,12629,12095,15927,13494,18683,1,18146,1,17915,14294,18353,16587,19868,14684,18832,13761,16432,14537,16972,13947,20655,12567,17023,1,20315,15157,18011,13598,18450,498.0481@0.3617907,498.0481,0.3617907,43,+,"(499.0553, 9352.24)(500.0547, 1352.29)(501.0536, 1488.33)"
566.0355@0.36190906,1,14953,11719,1,10509,1,1,1,12282,18281,1,16943,12775,1,1,16033,1,14919,1,1,12010,13622,12551,16421,11965,15927,1,17359,11630,15800,13803,16270,12639,16075,12574,16387,12860,16658,9944,15240,1,16267,1,20098,13120,18333,1,17982,566.0355@0.36190906,566.0355,0.36190906,33,+,"(567.0428, 8816.02)(568.0444, 1310.91)(569.0405, 1409.19)"
428.1023@0.36045828,22843,26040,24328,22820,23928,23580,22568,20966,23000,27882,21664,27033,25438,23947,23521,26701,22516,26369,23553,22606,23263,23354,24415,28605,21871,26267,23871,27643,24078,25987,26257,26865,23350,26407,22404,25862,23355,25818,23398,27347,22880,25307,23779,29441,21623,29036,21471,28761,428.1023@0.36045828,428.1023,0.36045828,48,+,"(429.1092, 14129.13)(430.1121, 2078.68)"
649.9971@0.36342552,23723,33964,25489,27743,24589,23380,24595,25452,26682,38663,23411,37915,26212,31806,25122,34323,25293,34890,27142,1,26562,29376,25975,32378,24364,33569,25697,40129,25594,33386,32529,38696,26260,34813,26828,35154,29008,36994,26161,41142,26366,37488,26797,44786,26635,39028,24313,39805,649.9971@0.36342552,649.9971,0.36342552,47,+,"(651.0046, 17781.21)(652.0072, 2903.66)(653.0031, 4181.89)(654.0045, 577.0)(655.0072, 742.38)"
378.0469@0.3610909,19670,1,26323,1,1,1,1,33597,22767,38009,1,1,1,43144,26309,43391,22594,34786,1,1,27913,1,1,1,1,1,1,1,28688,1,31528,43080,1,42588,1,1,27975,1,25858,40066,1,1,24692,1,1,38854,26570,49656,378.0469@0.3610909,378.0469,0.3610909,22,+,"(379.0541, 19318.72)(380.0571, 2178.51)(381.0524, 4347.48)"
580.0514@0.3625714,1,1,1,10333,10376,1,11115,1,11048,11407,1,11638,11194,1,1,1,10042,1,1,1,10098,1,10803,1,1,11393,1,11536,10579,11341,10216,12201,1,11752,1,11380,1,1,10301,1,1,1,1,11662,1,1,1,11711,580.0514@0.3625714,580.0514,0.3625714,21,+,"(581.058, 5994.33)(582.0619, 886.92)"
430.0609@0.36123392,57921,86770,63228,66742,59204,62210,59670,65090,62925,98078,57068,97562,65525,83290,61257,94341,59528,85795,59802,73165,63022,80120,63671,92945,63637,91070,61031,100620,62530,90582,72958,95405,61424,90918,63644,94497,69615,94463,63766,104143,62478,1,66597,114941,64365,100384,60610,101039,430.0609@0.36123392,430.0609,0.36123392,47,+,"(431.0682, 45854.58)(432.0711, 5697.76)(433.0669, 6172.38)(434.0687, 893.82)(435.0803, 898.75)"
392.0624@0.36134043,25285,33310,25546,28650,27031,32492,28718,32339,24966,31756,25839,31194,27343,34751,26139,33418,23836,32501,25285,32302,25768,32842,26317,33159,23689,32322,24264,31924,26808,33645,27440,31186,25029,32943,1,32006,25368,31395,26353,33077,25892,32222,27040,33105,24356,31777,25207,32019,392.0624@0.36134043,392.0624,0.36134043,47,+,"(393.07, 13510.3)(394.0719, 1664.71)(395.0684, 2756.57)(396.0728, 288.13)"
446.0348@0.36258695,52838,90046,56807,72104,60750,71104,60464,73893,1,97517,56820,94706,61585,90486,60357,90227,60527,90575,60535,71852,60577,82009,60798,87568,58889,89871,59846,97406,58899,91197,67815,94141,59878,91804,63929,91690,67028,95069,63879,102475,56905,1,61899,107930,61712,94989,57501,99971,446.0348@0.36258695,446.0348,0.36258695,46,+,"(447.0424, 40327.32)(448.0446, 4919.17)(449.0404, 8033.19)(450.044, 1124.32)(451.0395, 599.34)"
444.0766@0.36225,64880,82650,65254,73053,67431,75027,68360,71186,65703,81356,65091,80752,72941,77336,67734,77509,66837,79681,67328,56051,66681,77446,69958,79560,61046,80595,65277,81120,68776,81449,70951,81754,62549,76767,63402,76407,69033,82212,68755,84387,63251,78430,68994,79815,63861,79742,64448,82809,444.0766@0.36225,444.0766,0.36225,48,+,"(445.0839, 28366.29)(446.0866, 3847.52)(447.0811, 4981.73)(448.0862, 481.34)(449.0775, 292.62)"
582.01@0.36329272,26666,37046,28700,32404,1,1,27501,31420,29020,44654,26205,42333,28704,1,29460,40928,28933,37875,28436,32595,28737,33646,27186,40228,26620,40412,28647,42030,28273,1,32284,41043,28157,39271,30233,41104,31278,41488,30505,1,31129,1,1,49591,29518,44464,25596,43507,582.01@0.36329272,582.01,0.36329272,41,+,"(583.0171, 18770.72)(584.0197, 2957.66)(585.0157, 3887.7)(586.0184, 632.35)(587.0198, 576.48)"
376.0891@0.36167443,54281,68643,53540,1,54471,61345,53636,62838,56486,61769,1,61605,1,64170,52439,67352,51005,64676,51631,63235,52547,62454,54257,65669,49489,64429,38484,73071,53560,64932,52986,66405,50970,68098,1,63168,52493,63371,52728,65804,53780,64279,43959,72096,1,65913,50772,52845,376.0891@0.36167443,376.0891,0.36167443,43,+,"(377.0964, 26377.12)(378.0986, 3321.23)(379.0928, 5198.02)(380.0948, 1179.95)(381.085, 942.37)"
460.0504@0.363766,64923,78061,60319,64663,61967,71095,65770,69505,60066,72304,61796,74835,65359,79328,65329,76040,58658,75470,62524,70737,62615,74945,62774,73799,58111,73228,1,75376,63709,76021,66738,76617,59442,77653,57393,72465,61587,72756,63651,77532,57170,74304,62748,63675,57053,74214,59842,79515,460.0504@0.363766,460.0504,0.363766,47,+,"(461.0573, 28121.18)(462.0597, 4004.09)(463.0555, 6750.52)(464.0595, 895.07)(465.0523, 635.29)"
664.0124@0.36400002,18698,20499,18036,18545,18974,17656,18381,17560,18200,20146,17697,20286,18951,19486,18538,21023,18068,20143,17802,18351,19397,17071,17655,19831,17935,20376,17071,20396,20214,18822,19286,20089,17352,19503,17944,19712,18822,20325,18179,20575,1,19497,18901,21494,18448,20626,17171,20798,664.0124@0.36400002,664.0124,0.36400002,47,+,"(665.0203, 11375.19)(666.0223, 1817.35)"
512.0639@0.36392683,12988,18463,12744,16336,12718,14376,14150,14414,13883,16545,12532,14041,12888,15891,13618,15346,15081,13663,12648,1,13962,1,13383,14855,1,13819,1,15992,15098,13785,15770,14427,13291,1,14047,1,13150,1,15233,15221,13419,14251,13661,16129,14772,16040,14632,14987,512.0639@0.36392683,512.0639,0.36392683,41,+,"(513.0708, 6171.25)(514.0734, 1018.09)(515.0687, 1664.53)"
514.0223@0.36362854,18032,31492,21765,26374,21405,22580,22316,25657,23545,35818,20971,31646,22348,1,1,34011,23068,26354,22102,1,20893,1,22109,30392,21241,1,1,32258,21264,32722,26148,33085,21631,1,24137,34083,1,1,21598,35249,24135,1,23932,1,1,29215,1,28623,514.0223@0.36362854,514.0223,0.36362854,35,+,"(515.0292, 11925.23)(516.0318, 1579.93)(517.0278, 2380.32)(518.0296, 406.2)"
596.0251@0.3645107,27680,31046,27005,26636,27331,29796,24245,26623,29554,25688,26132,26270,29271,25281,29292,26986,25539,30506,28863,25674,29778,26684,29398,25588,24877,24544,26272,26084,28062,24999,28424,26022,28676,27123,26460,25687,22653,32491,30022,25605,1,24539,27406,29695,28946,26829,24052,30281,596.0251@0.3645107,596.0251,0.3645107,47,+,"(597.0322, 11223.94)(598.0346, 2406.29)(599.0256, 3706.79)(600.0302, 640.45)"
665.9717@0.36497438,36678,57756,43040,1,41279,42748,44233,47212,44785,64253,36790,61793,42223,57036,1,59845,42713,58420,42979,1,1,53042,43345,1,41386,1,44806,64269,39010,57763,50469,60864,1,58845,44108,60810,44650,60286,44825,64887,1,60082,45202,70193,45043,63999,1,64045,665.9717@0.36497438,665.9717,0.36497438,39,+,"(666.979, 25344.5)(667.9814, 3651.5)(668.9778, 7227.82)(669.9799, 1193.65)(670.9759, 1053.09)"
462.0087@0.36478573,15324,25050,16212,21270,16547,1,16517,21320,17097,26902,1,25196,17659,24500,1,27113,15522,24997,16852,22046,17250,23128,18151,25230,16968,26488,1,27357,16319,25044,18750,26890,16174,26440,16899,1,16365,25259,17374,25914,16817,25543,1,30065,15981,26646,17497,26653,462.0087@0.36478573,462.0087,0.36478573,42,+,"(463.0157, 8974.61)(464.0171, 1227.61)(465.0136, 2755.92)(466.0154, 373.51)"
679.9867@0.36570835,35748,43488,36907,37422,38847,37352,38656,38910,37130,37189,36708,31221,38548,39233,37392,41358,35311,38128,35554,38003,36596,41476,38215,32432,27025,32458,38559,36613,36749,29416,37191,30688,35418,31389,35585,30666,37842,39513,37606,31681,35620,30432,37804,31168,38431,35631,38103,43617,679.9867@0.36570835,679.9867,0.36570835,48,+,"(680.9942, 12851.35)(681.9968, 2137.52)(682.9895, 4594.65)(683.9927, 667.5)(684.9901, 230.8)"
528.0377@0.36517778,24523,29537,23618,26283,24941,26590,24660,25488,24470,27960,23891,28589,25239,28438,24529,28003,23330,28164,25218,1,24027,28155,24496,28115,23031,28177,1,28973,24296,28326,23794,29504,22909,26443,22991,1,23590,28136,25061,28484,22776,28376,24458,28818,23059,28761,21576,27632,528.0377@0.36517778,528.0377,0.36517778,45,+,"(529.0448, 9759.88)(530.0479, 1691.64)(531.0413, 2599.8)(532.0444, 281.13)"
544.0113@0.36624455,18239,21812,18193,19097,19269,21069,18517,21333,18160,18943,17795,19930,18190,21927,19031,21111,17192,20707,17292,1,17963,22195,18152,20285,1,21907,17311,20944,17928,21448,18761,22566,17527,22357,18269,21424,16747,20011,17652,20925,17445,22837,17921,20197,18636,20094,1,20762,544.0113@0.36624455,544.0113,0.36624455,45,+,"(545.0185, 6208.3)(546.0207, 947.64)(547.0157, 2119.68)(548.0187, 250.54)(548.9985, 381.39)"
611.9993@0.36618748,31997,40495,31199,36402,35727,36030,33473,36935,33873,38297,31374,37581,34176,39055,34345,37828,33744,38484,32151,34884,32938,38107,33009,37135,30164,38913,32686,38451,31952,38667,33117,38626,33181,38275,29321,37063,31700,36799,35320,38151,32141,38403,33898,38492,31262,38429,32807,38345,611.9993@0.36618748,611.9993,0.36618748,48,+,"(613.0068, 12330.84)(614.0088, 2001.55)(615.0026, 3792.32)(616.0061, 793.19)(616.9995, 400.09)"
154.072@0.35929546,209651,273121,227096,245733,218080,265952,237858,1,744484,402469,211750,415740,98292,1,218222,377123,231805,896279,221085,284328,222977,835838,230741,263943,212187,364975,248994,357523,229753,260386,1,382127,210103,261973,215080,1016133,229444,268687,760240,411091,219507,261965,224488,423425,1,269392,213737,932663,154.072@0.35929546,154.072,0.35929546,44,+,"(177.0614, 76257.37)(178.0605, 12363.55)(179.0631, 1146.28)(331.1349, 6602.33)(332.1312, 869.14)(155.079, 67698.74)(347.1088, 29647.28)(348.1107, 3833.57)(349.1094, 2239.52)(193.0357, 237091.75)(194.0365, 16818.07)(195.0336, 13899.49)(196.0344, 978.8)"
529.996@0.36569694,1,26092,17226,19535,17281,20276,16319,1,21094,27481,16923,26609,18470,1,1,29245,16658,27148,17728,1,18362,1,1,26087,1,1,18163,28025,17515,24977,18942,25891,17374,1,1,27018,1,1,19583,27063,18039,1,21997,30451,17563,30544,1,27769,529.996@0.36569694,529.996,0.36569694,33,+,"(531.0033, 10039.97)(532.0058, 1606.56)(533.001, 3322.82)(534.0051, 418.28)"
597.9836@0.36544734,31683,51189,33605,44166,1,1,36602,1,38157,56185,34632,54027,35015,1,37287,51110,36026,51146,36515,1,37022,46679,34840,47008,36758,51585,33279,54071,1,1,41254,53002,35408,47845,37203,52217,38704,53806,36447,1,34985,1,1,61363,35485,55808,32922,55481,597.9836@0.36544734,597.9836,0.36544734,38,+,"(598.9913, 21489.12)(599.9937, 3297.57)(600.9887, 5728.01)(601.993, 849.95)(602.9909, 908.71)"
476.0238@0.36521423,18274,22795,15702,19371,18615,21391,17844,21139,17365,19832,18206,21013,18810,21969,17326,21099,1,21433,17627,21833,17183,21914,18670,17306,1,21700,1,20982,17590,20082,1,21362,17593,21385,16923,20489,19056,20694,16853,21248,1,23212,17504,21611,1,21354,18027,21293,476.0238@0.36521423,476.0238,0.36521423,42,+,"(477.0311, 6184.57)(478.0334, 956.8)(479.0287, 1824.1)(480.0324, 161.42)(481.0145, 394.69)"
681.9455@0.36728945,37989,56748,39458,1,39709,1,41068,45925,39145,57853,37767,59531,40274,1,1,57417,39159,54624,41105,47441,1,53009,39919,1,40764,1,39953,58362,39924,56813,45279,58834,1,56132,39690,59019,43037,59007,41346,60744,1,57329,42288,64905,39438,59730,1,59718,681.9455@0.36728945,681.9455,0.36728945,38,+,"(682.9539, 22162.56)(683.9552, 3589.63)(684.9512, 7534.09)(685.9533, 1429.74)(686.9499, 1500.88)"
613.9578@0.36800003,18284,27090,20441,21800,19112,1,19809,24855,19531,28285,19496,29189,20227,30298,20714,30140,20219,29847,20114,26715,19200,26571,20441,30237,20653,29623,19538,30855,19204,27580,22500,30288,18831,28149,22101,31486,20713,30962,19945,31801,18878,31171,20740,32243,20504,32271,19223,28466,613.9578@0.36800003,613.9578,0.36800003,47,+,"(614.9654, 10514.25)(615.9645, 1757.59)(616.9615, 3806.19)(617.9569, 630.98)(618.963, 513.13)"
260.0151@0.36778578,1,1,23898,30392,23473,22101,22450,25417,28626,33252,25384,21806,26243,28807,24810,1,27912,31837,27077,27218,1,28384,23097,1,29092,31799,28350,31011,34211,31206,24704,29924,27421,29685,26850,32573,27709,30491,27101,35526,24783,31855,26460,35295,25029,1,24468,34226,260.0151@0.36778578,260.0151,0.36778578,42,+,"(283.0088, 1618.23)(261.0222, 11305.1)(262.0255, 688.89)(263.0129, 852.58)(264.0159, 0.0)"
695.9604@0.36779168,33042,38900,32011,37300,34588,36681,33870,37231,32410,34830,33117,38509,35451,39439,35031,38402,33866,38587,35228,35849,32033,37199,32328,38787,32590,36074,32347,38417,34909,38238,34251,38268,32571,39819,31054,39237,32158,37851,35462,40197,32525,39893,31428,37158,33050,37768,32250,37196,695.9604@0.36779168,695.9604,0.36779168,48,+,"(696.9677, 11629.84)(697.9706, 2238.6)(698.9635, 5079.11)(699.9663, 832.1)(700.9626, 993.79)"
170.0464@0.36921737,1755083,2560279,1863532,2246380,733588,789585,1995766,1994698,1365457,2491624,698034,2721793,2019519,2266521,1873455,1,1872789,1677082,2013534,2205707,1879812,1770669,1894577,2537482,1971009,2566855,2033272,1019769,1845491,2500119,2031368,2381500,2010158,2343764,2020626,1999153,1930040,2607548,91784,2543827,2046152,2630163,1891732,1134913,2046422,2505531,1,1804553,170.0464@0.36921737,170.0464,0.36921737,46,+,"(193.0355, 264397.94)(194.0356, 17305.25)(195.0333, 16127.95)(196.0353, 1106.52)(363.0805, 36381.22)(364.0845, 3975.65)(365.0791, 5339.04)(366.085, 518.0)(367.0788, 293.05)(171.0529, 45946.82)(172.0564, 2972.9)(173.0513, 3209.63)(209.0098, 588584.8)(210.0123, 25252.75)(211.0077, 65008.9)(212.0104, 3597.92)(213.0057, 1884.89)(379.0543, 17187.02)(380.0534, 2235.03)(381.0528, 4243.27)(382.0484, 380.8)"
479.951@0.36881256,24943,30971,27038,29395,28481,24270,28052,24216,29618,36853,25893,34307,28513,31908,27752,30320,29457,30692,28342,24818,28502,27449,28344,31451,28058,32374,29487,35778,26808,31767,31303,33599,28952,30798,29804,32796,30487,34131,28309,35821,29710,32128,29798,37512,30257,33766,25314,33981,479.951@0.36881256,479.951,0.36881256,48,+,"(480.9587, 14431.76)(481.9619, 1637.35)(482.9574, 2172.16)"
