Sample,,,,,,,CLOPIDOGREL SULFATE Results,,IS_SPARTEINE Results,,GALANTAMINE Results,,PIDOTIMOD Results,,AMINOGLUTETHIMIDE Results,,APOMORPHINE HYDROCHLORIDE Results,,AZATADINE MALEATE Results,,AMISULPRIDE Results,,IS_EMETINE Results,,METHYLPHENIDATE HYDROCHLORIDE Results,,METOPROLOL TARTRATE Results,,TACRINE HYDROCHLORIDE Results,,ZIDOVUDINE [AZT] Results,,FAMCICLOVIR Results,,IS_CAFFEINE Results,,ACEBUTOLOL HYDROCHLORIDE Results,,IS_YOHIMBINE Results,,PITAVASTATIN CALCIUM  Results,,METICRANE Results,,IS_SULFAMETHOXAZOLE Results,,PYRIMETHAMINE Results,,TAMSULOSIN HYDRCHLORIDE Results,,TERAZOSIN HYDROCHLORIDE Results,,NOSCAPINE HYDROCHLORIDE Results,,KETOTIFEN FUMARATE Results,,CLOZAPINE Results,,IS_EYTHROMYCINE Results,,METHOCARBAMOL Results,,RANOLAZINE Results,,MEBHYDROLIN NAPHTHALENESULFONATE Results,,ENALAPRIL MALEATE Results,,TENOXICAM Results,,DULOXETINE HYDROCHLORIDE Results,,CARVEDILOL Results,,PREDNISONE Results,,CAMYLOFINE DIHYDROCHLORIDE Results,,DOXAZOSIN MESYLATE Results,,METOLAZONE Results,,SOLIFENACIN SUCCINATE Results,,THIOTHIXENE Results,,DIPYRIDAMOLE Results,,PENBUTOLOL SULFATE Results,,BENZTHIAZIDE Results,,DABIGATRAN ETEXILATE MESYLATE Results,,METHOXSALEN Results,,ENTACAPONE Results,,REBAMIPIDE Results,,TOLAZAMIDE Results,,OLMESARTAN MEDOXOMIL Results,,KETOROLAC TROMETHAMINE Results,,IS_MIFEPRISTONE Results,,MIFEPRISTONE Results,,SULINDAC Results,,LOSARTAN Results,,REPAGLINIDE Results,,DEFLAZACORT Results,,BEZAFIBRATE Results,,ISRADIPINE Results,,DIFLORASONE DIACETATE Results,,ETODOLAC Results,,MEGESTROL ACETATE Results,,IS_IPRIFLAVONE Results,,DANAZOL Results,
,,Name,Data File,Type,Level,Acq. Date-Time,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area,RT,Area
!,!,MZ002H-Pool20-P003C4-S036-T12,MZ002H-Pool20-P003C4-S036-T12.d,Sample,,5/10/2016 5:03 AM,,,1.064,3784143,1.109,3478441,1.266,164124,1.545,851735,1.646,1777533,1.679,32581,1.668,4537346,1.825,2260428,1.937,2405615,1.959,20804029,1.993,7862526,2.026,14796,1.993,4170344,1.993,1152114,2.037,13271694,2.049,8266183,2.160,1126199,2.216,187612,2.216,2358522,2.261,6137988,2.272,2620636,2.339,2402548,2.362,7670786,2.384,3271142,2.485,2858446,2.530,2935185,2.518,373982,2.530,4786231,2.753,2104740,2.876,507259,2.854,6261132,2.910,1145322,2.999,84153,3.067,167422,3.111,14141291,3.033,3958627,3.145,1404533,3.201,1587651,3.324,2794908,3.279,4914290,3.301,3074171,3.290,722222,3.469,5545554,3.391,8807271,3.525,0,3.659,1164332,3.715,20542533,3.738,2706943,3.771,5152670,3.894,7997796,3.894,7984219,4.006,62527,4.017,13289992,4.196,15760895,4.185,11141678,4.241,12058599,4.387,189883,4.387,4716909,4.498,3041526,4.700,12000423,4.812,8711307,4.812,27632
!,!,MZ002H-Pool20-P004A1-S037-T00,MZ002H-Pool20-P004A1-S037-T00.d,Sample,,5/10/2016 7:38 AM,,,1.075,3872542,1.120,3252445,1.276,143066,1.556,757643,1.645,1882997,1.601,45353,1.679,4601511,1.847,2552341,1.936,2505264,1.959,19894223,1.992,7072930,2.026,22853,1.992,3561296,2.003,1111917,2.037,12483493,2.048,8803220,2.160,1500882,2.216,222137,2.216,2763043,2.261,6771697,2.272,2843979,2.339,2651549,2.361,9486592,2.384,3893086,2.484,3182074,2.529,2727918,2.518,443112,2.529,5107191,2.764,2402535,2.865,548979,2.854,6430770,2.909,1607625,2.999,78299,3.066,205553,3.122,14761105,3.044,4918870,3.144,1511610,3.189,1595809,3.312,3264339,3.267,5955993,3.301,3294974,3.290,856539,3.469,6110277,3.390,9207317,3.525,797271,3.659,1018985,3.715,19470734,3.737,4127396,3.771,4653901,3.905,7274558,3.905,7281986,4.017,17705,4.017,13844472,4.196,15883861,4.185,10942532,4.241,11898720,4.386,191545,4.386,5119437,4.498,3015026,4.699,11760437,4.811,7055463,4.811,7637026
!,!,MZ002H-Pool20-P004A2-S038-T00,MZ002H-Pool20-P004A2-S038-T00.d,Sample,,5/10/2016 10:13 AM,,,1.074,3478761,1.108,3046210,1.276,135473,1.544,748777,1.645,2077760,1.611,18064,1.679,5053816,1.846,2044722,1.936,2577334,1.958,19398425,1.992,7435504,2.025,9169,1.992,3734394,2.003,1157172,2.036,12672403,2.048,8766374,2.160,1355420,2.215,250385,2.215,2778612,2.260,7175866,2.271,2746336,2.339,2533867,2.361,8912482,2.383,3770287,2.484,3035152,2.529,1706732,2.518,464180,2.529,5036288,2.764,2246473,2.875,542708,2.853,6450341,2.909,1459161,2.999,69017,3.066,189435,3.122,13704844,3.032,4291147,3.144,1575251,3.200,1512894,3.312,3286703,3.267,5539450,3.301,3140392,3.289,818458,3.480,5197891,3.390,9746200,3.524,859318,3.658,901334,3.714,19947912,3.737,4733229,3.770,4870793,3.893,6491052,3.893,6502557,4.005,14106,4.016,13035264,4.195,14853840,4.184,10861032,4.240,11042519,4.386,183535,4.386,4842656,4.497,2616233,4.699,11689616,4.811,8354939,4.811,7384861
!,!,MZ002H-Pool20-P004A4-S040-T00,MZ002H-Pool20-P004A4-S040-T00.d,Sample,,5/10/2016 3:22 PM,,,1.054,3734203,1.110,2551529,1.277,109208,1.546,623822,1.646,589162,1.602,24585,1.669,3666729,1.837,1360765,1.937,2033694,1.949,16984240,1.982,5817523,2.027,6557,1.993,3224331,1.993,1025823,2.038,10254080,2.049,7719134,2.161,888730,2.206,131565,2.206,2105388,2.262,4944419,2.273,1963001,2.340,1880452,2.362,6724642,2.374,2640835,2.474,2060373,2.530,3470633,2.519,296181,2.530,4111168,2.754,1623842,2.877,446952,2.855,4691326,2.911,851453,3.000,57127,3.067,236621,3.112,11210343,3.034,2977425,3.145,875219,3.201,1182224,3.324,1945567,3.268,4052298,3.302,2398474,3.291,614273,3.481,8270372,3.392,7312454,3.526,595953,3.660,1035189,3.716,15414138,3.738,2358079,3.772,3676304,3.895,5376387,3.895,5371847,4.007,8142,4.018,12338316,4.186,15149198,4.186,10661509,4.242,11311728,4.387,206054,4.387,4559039,4.499,2785547,4.700,11324000,4.812,10784268,4.801,6654378
!,!,MZ002H-Pool20-P004A1-S037-T12,MZ002H-Pool20-P004A1-S037-T12.d,Sample,,5/10/2016 5:57 PM,,,1.074,4044044,1.108,3537497,1.264,141752,1.544,829382,1.645,2087715,1.600,11673,1.678,5867990,1.880,2162329,1.936,2663436,1.958,21243277,1.992,7698367,2.036,17724,1.992,506975,1.992,1302651,2.036,13746330,2.047,10138410,2.159,1586573,2.215,272339,2.215,3532180,2.260,7729850,2.271,3370088,2.338,3014561,2.361,8779301,2.383,4515765,2.484,3657994,2.528,2867800,2.517,540724,2.528,6226603,2.763,2660124,2.875,571842,2.853,6924234,2.909,1622250,2.987,41482,3.065,306419,3.133,15013047,3.043,5293344,3.144,1811079,3.200,1735235,3.345,3403359,3.267,6385571,3.300,3131785,3.289,986116,3.479,8995298,3.390,7143946,3.535,0,3.658,814456,3.714,17734827,3.737,1309293,3.770,4237459,3.904,7767605,3.904,7762144,4.016,20368,4.016,13582660,4.195,15726304,4.184,8106362,4.240,11364412,4.385,231381,4.385,3732767,4.497,2743723,4.699,10938684,4.810,6543042,4.799,1887041
!,!,MZ002H-Pool20-P004A2-S038-T12,MZ002H-Pool20-P004A2-S038-T12.d,Sample,,5/10/2016 8:32 PM,,,1.076,4288899,1.109,3768469,1.277,135601,1.545,1001845,1.646,3693991,1.601,13985,1.680,6812085,1.892,2010262,1.937,3274571,1.959,24602908,1.993,9068041,2.015,20845,1.993,1212380,1.993,1442168,2.038,15669985,2.049,11321440,2.161,2601429,2.217,419620,2.217,4960419,2.261,9876567,2.273,4216088,2.340,4358551,2.362,10691485,2.384,5207469,2.485,3751221,2.530,682214,2.519,689264,2.541,8340465,2.754,2823357,2.877,614762,2.854,7943903,2.910,1863325,2.989,36916,3.067,320064,3.123,16008736,3.044,5561534,3.145,2016549,3.201,1800315,3.324,3672749,3.268,6625348,3.291,3270365,3.291,1099889,3.470,9083430,3.391,8803036,3.537,0,3.660,909107,3.716,16956736,3.738,2075983,3.772,4315336,3.895,7515346,3.895,7515434,4.018,26122,4.018,13717023,4.185,16802643,4.185,10146809,4.241,12238194,4.387,241235,4.387,3905691,4.499,3168488,4.700,12089353,4.812,9054017,4.801,478472
!,!,MZ002H-Pool20-P004A4-S040-T12,MZ002H-Pool20-P004A4-S040-T12.d,Sample,,5/11/2016 1:41 AM,,,1.063,3498602,1.108,2393965,1.275,107922,1.544,625507,1.645,1062388,,,1.678,3367311,1.857,2030094,1.935,1649898,1.958,15719660,1.991,5395465,2.025,5450,1.991,3104947,2.002,968072,2.036,9761591,2.047,7394771,2.159,722193,2.215,130951,2.215,2020709,2.260,4654807,2.271,1976695,2.338,1806615,2.360,5752553,2.383,2266861,2.483,1844954,2.528,2998513,2.517,266019,2.528,3599886,2.763,1454782,2.875,375007,2.853,4567373,2.909,781629,2.998,45939,3.065,280170,3.121,9936345,3.043,2902258,3.155,944099,3.199,1110307,3.322,1917195,3.278,3645596,3.289,1959579,3.289,566472,3.468,10156425,3.390,5836118,3.524,218052,3.658,808566,3.714,11079712,3.736,1039382,3.770,2705834,3.904,5356800,3.904,5339293,4.016,17026,4.016,11046677,4.184,14136354,4.184,9816953,4.240,10499169,4.385,214257,4.385,4246666,4.497,2622904,4.698,10234757,4.810,8560447,4.810,626899
!,!,MZ002H-Pool20-P004B1-S041-T00,MZ002H-Pool20-P004B1-S041-T00.d,Sample,,5/11/2016 4:16 AM,,,1.087,3326330,1.121,2960082,1.277,114449,1.546,678692,1.646,1848762,1.602,12005,1.680,4344932,1.870,1776954,1.937,2183717,1.948,18022584,1.993,6410531,2.027,13938,1.993,606709,1.993,987550,2.038,11500859,2.049,7952848,2.161,1333156,2.206,177009,2.206,2358446,2.262,5868799,2.273,2467145,2.340,2295524,2.362,8475476,2.385,3344279,2.485,2652420,2.530,2354968,2.519,412017,2.530,4659191,2.765,1918023,2.866,458215,2.854,5673604,2.910,1176681,2.989,66032,3.067,182864,3.123,13014798,3.033,3595509,3.145,1249954,3.201,1270119,3.324,2122441,3.268,5067203,3.291,2780096,3.280,726156,3.470,6065993,3.380,8290078,3.514,614128,3.660,933653,3.716,17690581,3.738,3460062,3.772,4132215,3.895,6818576,3.895,6823365,4.018,7463,4.018,12560661,4.186,14952558,4.186,8361963,4.242,11225045,4.387,175601,4.387,3858286,4.499,2595659,4.689,10476893,4.812,6371880,4.801,6447457
!,!,MZ002H-Pool20-P004B2-S042-T00,MZ002H-Pool20-P004B2-S042-T00.d,Sample,,5/11/2016 6:51 AM,,,1.078,3210576,1.112,2821547,1.279,127756,1.548,696357,1.637,2406650,1.604,52756,1.671,4102930,1.850,1830842,1.928,2260046,1.951,18158638,1.984,6735551,2.018,4900,1.995,3541790,1.995,971075,2.040,11220877,2.051,7420275,2.163,1016979,2.208,149728,2.208,2087898,2.253,5868049,2.264,2209958,2.342,2144075,2.365,7310212,2.376,2923126,2.476,2519853,2.532,2641761,2.521,356959,2.532,4322233,2.756,1893938,2.868,494131,2.857,6038931,2.901,1243706,2.991,79862,3.069,102864,3.114,12930683,3.036,3503853,3.148,1334929,3.192,1376227,3.315,2595555,3.271,4967981,3.293,2942215,3.282,680319,3.472,3238357,3.382,9530464,3.517,649382,3.662,1194039,3.718,21297776,3.729,5194069,3.774,5179269,3.897,7007286,3.897,6998470,4.009,7497,4.020,13437993,4.188,14743101,4.188,10870231,4.233,11741964,4.389,180661,4.389,4629412,4.490,2787585,4.691,11686228,4.814,8336433,4.803,2949845
!,!,MZ002H-Pool20-P004B3-S043-T00,MZ002H-Pool20-P004B3-S043-T00.d,Sample,,5/11/2016 9:25 AM,,,1.064,3364026,1.109,2991996,1.277,127223,1.545,614173,1.635,1303293,1.601,45101,1.668,3879846,1.859,1775249,1.937,2088504,1.948,17672878,1.982,6753395,2.026,10461,1.993,3238273,1.993,947164,2.038,10379942,2.049,7074870,2.161,1003912,2.205,153277,2.205,2107556,2.261,6043946,2.272,2440805,2.340,2060086,2.362,7729786,2.373,2973653,2.474,2294674,2.530,3024339,2.519,377243,2.530,4221541,2.765,1749526,2.865,439025,2.854,5569387,2.899,1043876,2.988,82912,3.067,200285,3.123,12952308,3.033,3623513,3.145,1133659,3.190,1383686,3.335,2256583,3.268,4920998,3.290,2966573,3.279,674192,3.469,5888258,3.380,9212354,3.514,848589,3.660,1045846,3.715,17743945,3.738,3751781,3.771,4410659,3.894,6705844,3.894,6703911,4.006,9123,4.017,12483410,4.185,14749852,4.185,10838513,4.241,10949080,4.387,188662,4.387,4460248,4.498,2780478,4.689,10751981,4.812,6678107,4.801,2774738
!,!,MZ002H-Pool20-P004B4-S044-T00,MZ002H-Pool20-P004B4-S044-T00.d,Sample,,5/11/2016 12:00 PM,,,1.066,3305081,1.111,2449460,1.267,105666,1.547,603668,1.636,913161,1.603,35340,1.670,3444043,1.849,1838831,1.927,1837236,1.950,15326346,1.983,5466671,1.894,17240,1.994,3108607,1.994,942592,2.028,9774274,2.050,7466458,2.162,874256,2.207,156391,2.207,2093371,2.252,4951316,2.263,1935322,2.341,1800440,2.364,6043499,2.375,2474947,2.475,2045935,2.531,2795759,2.520,302995,2.531,3556994,2.755,1535937,2.867,414340,2.856,5100897,2.901,887373,2.990,60151,3.068,109065,3.124,10381842,3.035,2881326,3.147,840920,3.191,1081565,3.326,1749393,3.270,4038305,3.292,2349045,3.281,573583,3.471,3400262,3.382,8088576,3.516,717078,3.661,1030917,3.717,18951728,3.739,3451151,3.773,4453694,3.896,6058007,3.896,6066608,4.008,4775,4.019,11421964,4.187,13517170,4.187,10113474,4.232,10360212,4.388,159296,4.388,4017133,4.489,2462513,4.690,10063348,4.813,8801500,4.802,5816006
!,!,MZ002H-Pool20-P004B1-S041-T12,MZ002H-Pool20-P004B1-S041-T12.d,Sample,,5/11/2016 2:35 PM,,,1.077,3786025,1.110,3093368,1.267,102838,1.547,876920,1.636,3073512,,,1.681,6163614,2.005,1133375,1.938,2332393,1.949,19481468,1.983,7181089,1.837,21258,1.994,0,1.994,1185709,2.039,14136431,2.050,10543163,2.162,2686405,2.207,302679,2.207,3944561,2.263,7627885,2.274,3389218,2.341,3487741,2.363,9926953,2.386,4584046,2.486,3454943,2.531,2408226,2.520,660235,2.531,7428604,2.766,2423404,2.867,574291,2.855,7505059,2.911,1410157,2.990,37363,3.068,259826,3.135,14026667,3.034,4362040,3.146,1545032,3.191,1594076,3.348,2402456,3.269,6073413,3.292,2828510,3.280,898895,3.482,8840257,3.381,8339465,3.515,0,3.661,836608,3.717,15304008,3.739,1757413,3.773,3873888,3.896,7078199,3.896,7064583,4.008,15537,4.008,12353094,4.187,15359909,4.187,19146,4.231,11334117,4.388,176584,4.388,50397,4.489,2716971,4.690,9559078,4.813,5046060,4.802,86870
!,!,MZ002H-Pool20-P004B2-S042-T12,MZ002H-Pool20-P004B2-S042-T12.d,Sample,,5/11/2016 5:09 PM,,,1.074,3100568,1.108,2820403,1.276,127963,1.544,732630,1.645,1740189,1.600,26974,1.667,3897727,1.869,1665383,1.936,1831799,1.947,17253828,1.992,6235326,1.880,14649,1.992,3402045,1.992,944044,2.036,10835690,2.048,6984849,2.159,809554,2.204,155856,2.204,2098021,2.260,5509089,2.271,2291390,2.338,2080648,2.361,6262945,2.383,3078808,2.484,2381820,2.529,2443103,2.517,359410,2.529,4153383,2.752,1798533,2.864,457853,2.853,5717119,2.909,1024469,2.998,73720,3.066,91226,3.121,11984734,3.032,3395235,3.144,1255644,3.189,1266752,3.323,2189950,3.267,4553605,3.289,2652479,3.289,646525,3.479,3423151,3.379,6856643,3.502,0,3.658,1052201,3.714,20209117,3.737,2820810,3.770,4800628,3.893,6819917,3.893,6802928,4.005,9334,4.016,12443293,4.184,14446340,4.184,8076940,4.240,11056251,4.385,157086,4.385,4267461,4.497,2646301,4.688,10345672,4.811,5969176,4.799,22178
!,!,MZ002H-Pool20-P004B3-S043-T12,MZ002H-Pool20-P004B3-S043-T12.d,Sample,,5/11/2016 7:44 PM,,,1.199,65072,1.132,90648,1.266,4876,1.546,28125,1.646,36524,,,1.691,102774,2.206,21786,1.948,46735,1.971,483008,2.004,116913,2.049,3589,1.993,73329,1.993,55906,2.038,244354,2.049,204126,2.161,45902,2.206,9321,2.206,123193,2.262,145704,2.273,61493,2.340,50826,2.374,113632,2.407,58483,2.530,45047,2.530,102379,2.519,29222,2.541,111610,2.810,22011,2.855,10649,2.855,99847,2.910,27207,2.989,18216,3.067,5789,3.235,164893,3.045,68243,3.145,25864,3.224,19834,3.425,41265,3.268,100970,3.302,39953,3.291,18760,3.470,134271,3.380,131327,3.526,0,3.660,12468,3.716,351717,3.727,57351,3.772,75554,3.895,90129,3.895,86431,4.107,631,4.018,127040,4.186,155287,4.186,154433,4.230,132694,4.387,3783,4.387,54479,4.499,33223,4.689,107321,4.812,190960,,
!,!,MZ002H-Pool20-P004B4-S044-T12,MZ002H-Pool20-P004B4-S044-T12.d,Sample,,5/11/2016 10:19 PM,,,1.074,3389981,1.108,2346674,1.264,105468,1.544,644999,1.633,653079,1.600,36442,1.667,3378749,1.868,1626462,1.935,1363777,1.947,15386159,1.980,5304114,1.891,14022,1.991,3002284,1.991,961451,2.036,9429711,2.047,7350137,2.159,685632,2.204,157394,2.204,2172386,2.249,4776961,2.260,1913590,2.338,1749969,2.360,5332146,2.372,2540732,2.484,2048919,2.528,2737424,2.517,284254,2.528,3521184,2.752,1534840,2.864,391660,2.853,4263713,2.909,766012,2.998,55986,3.065,135881,3.121,10142851,3.032,2699007,3.144,761366,3.188,1209107,3.322,1845551,3.267,3829674,3.289,2308150,3.289,528514,3.468,3774205,3.378,6011452,3.501,0,3.658,930380,3.714,18130146,3.736,2192848,3.770,3868264,3.893,6615272,3.893,6597766,4.005,7577,4.016,11287321,4.184,13660230,4.184,9380724,4.229,10314771,4.385,138513,4.385,4036142,4.497,2444304,4.687,9791371,4.810,7668260,,
!,!,MZ002H-Pool20-P004C1-S045-T00,MZ002H-Pool20-P004C1-S045-T00.d,Sample,,5/12/2016 12:54 AM,,,1.085,3038117,1.119,2623345,1.276,107364,1.544,655294,1.645,286984,1.656,2799,1.678,3827916,1.880,1384515,1.936,1876554,1.958,16009397,1.992,5386317,2.025,9286,1.992,3022348,1.992,879441,2.036,9364092,2.047,6292527,2.159,859085,2.215,144762,2.215,1964163,2.260,5148502,2.271,2182262,2.338,1847606,2.361,5989511,2.372,2597559,2.484,2030853,2.528,2412088,2.517,297482,2.528,3683474,2.763,1420814,2.875,423846,2.853,5251320,2.909,706722,2.987,73273,3.065,99694,3.121,11126796,3.032,2664284,3.144,818137,3.200,1070060,3.323,1529929,3.267,3263888,3.289,2383499,3.289,596072,3.479,2823178,3.379,8329904,3.513,697900,3.658,1044390,3.714,19182510,3.737,2641431,3.770,4419682,3.893,3655574,3.893,3659483,3.994,7001,4.016,11330195,4.184,12300320,4.184,9377794,4.229,9703574,4.385,128284,4.385,3835561,4.497,2438212,4.687,9420381,4.810,7280676,4.799,2908316
!,!,MZ002H-Pool20-P004C2-S046-T00,MZ002H-Pool20-P004C2-S046-T00.d,Sample,,5/12/2016 3:28 AM,,,1.066,3213713,1.111,2978176,1.267,121759,1.547,760622,1.637,817945,1.603,33113,1.670,4109665,1.871,1544557,1.927,2141528,1.950,18286748,1.983,6254325,2.028,9179,1.995,3400064,1.995,895232,2.028,11151017,2.050,6795915,2.162,993867,2.207,137307,2.207,2105356,2.252,5796307,2.263,2408441,2.341,2101583,2.364,6804111,2.375,2916720,2.476,2183774,2.531,2737350,2.520,317515,2.531,4343299,2.755,1611258,2.867,456506,2.856,5297025,2.901,826276,3.001,92340,3.068,184646,3.113,12299506,3.035,2685041,3.147,930254,3.191,1192015,3.326,1448415,3.270,3297404,3.292,2561372,3.281,583315,3.482,4902983,3.382,8294189,3.516,722433,3.661,1245290,3.706,18810990,3.728,2045937,3.773,4760159,3.896,3506252,3.896,3485602,4.008,10081,4.019,13165854,4.187,13876519,4.187,10889378,4.232,11603197,4.388,149347,4.388,4130654,4.489,2859875,4.690,10497972,4.802,9159538,4.802,5252733
!,!,MZ002H-Pool20-P004C3-S047-T00,MZ002H-Pool20-P004C3-S047-T00.d,Sample,,5/12/2016 6:03 AM,,,1.076,3122903,1.109,2730981,1.266,113302,1.545,597686,1.646,425077,1.601,35595,1.668,3653067,1.870,1344027,1.926,1934735,1.948,16369016,1.982,5866901,2.038,8606,1.993,2970467,1.993,805817,2.026,10047998,2.049,6788981,2.161,885965,2.205,146284,2.205,1920250,2.250,5669001,2.261,2265980,2.340,1867245,2.362,6083876,2.373,2677990,2.474,2067911,2.530,2429239,2.519,342297,2.530,3625508,2.753,1429530,2.865,445067,2.854,5278345,2.899,740794,2.988,64601,3.067,119557,3.123,11549703,3.033,2592823,3.145,983690,3.190,1203344,3.335,1525374,3.268,3428618,3.290,2648068,3.279,631175,3.481,3191870,3.380,9102910,3.514,765434,3.660,1014058,3.715,20111776,3.738,2008329,3.771,4657734,3.894,3710472,3.894,3717750,4.006,9774,4.018,11830170,4.185,12023319,4.185,9750621,4.230,10223598,4.387,141558,4.375,4030663,4.487,2518357,4.689,10012691,4.812,7901547,4.801,5194706
!,!,MZ002H-Pool20-P004C4-S048-T00,MZ002H-Pool20-P004C4-S048-T00.d,Sample,,5/12/2016 8:38 AM,,,1.074,3576591,1.108,2584181,1.265,93232,1.544,637995,1.645,117468,1.656,10207,1.667,3846983,1.869,1184450,1.924,1933094,1.947,15826317,1.992,5665612,2.014,15599,1.992,2848810,1.992,1027148,2.036,10149743,2.048,8761310,2.159,1098910,2.204,205916,2.204,2641697,2.260,5919576,2.271,2352968,2.338,2085345,2.361,6090632,2.383,2632028,2.484,2081125,2.529,1830296,2.517,370634,2.529,3825430,2.763,1421976,2.864,442418,2.853,5205432,2.898,541080,2.987,46942,3.065,203704,3.133,10317039,3.032,2328270,3.144,836717,3.200,1012949,3.345,1150334,3.267,3271582,3.289,2203228,3.278,654972,3.468,5730400,3.379,8233803,3.513,575307,3.658,768661,3.714,16358292,3.737,1602004,3.759,3593252,3.893,3648075,3.893,3617241,4.005,9355,4.016,11077167,4.184,11908974,4.184,9482239,4.229,9628189,4.385,128909,4.385,3859516,4.486,2360617,4.687,9313775,4.811,9954973,4.799,4516944
!,!,MZ002H-Pool20-P004C1-S045-T12,MZ002H-Pool20-P004C1-S045-T12.d,Sample,,5/12/2016 11:13 AM,,,1.077,2918630,1.111,2578602,1.267,110656,1.547,601766,1.637,162985,1.603,32075,1.670,3585322,1.883,1103620,1.939,1430343,1.950,15391831,1.983,5321049,2.028,7515,1.994,2816609,1.994,817568,2.028,8803881,2.050,6324338,2.162,684738,2.207,138316,2.207,1943284,2.252,5206006,2.263,2102732,2.341,1896273,2.364,4705545,2.375,2605566,2.487,1909074,2.520,2241648,2.509,309071,2.531,3249518,2.766,1261999,2.867,407734,2.856,4942149,2.901,597827,2.990,65185,3.068,97081,3.124,10366102,3.035,2465960,3.147,1020460,3.191,1274791,3.337,1665904,3.270,3372669,3.292,2395341,3.281,584585,3.482,2846740,3.382,7691687,3.493,0,3.661,876560,3.706,18908922,3.728,1421382,3.762,3799754,3.896,4426358,3.896,4436043,3.997,7501,4.008,10988259,4.187,11284567,4.187,8650125,4.232,9259120,4.388,114168,4.377,3641990,4.489,2353945,4.690,8770592,4.802,6156273,4.802,39262
!,!,MZ002H-Pool20-P004C2-S046-T12,MZ002H-Pool20-P004C2-S046-T12.d,Sample,,5/12/2016 1:47 PM,,,1.075,3174707,1.108,2666184,1.265,117238,1.545,690222,1.634,1207921,1.601,44513,1.668,3755864,1.880,942363,1.925,1694450,1.947,16281632,1.981,6195027,2.014,9939,1.992,1013859,1.992,864022,2.026,10292716,2.048,7214574,2.160,807032,2.205,164135,2.205,2322145,2.249,6400402,2.261,2472712,2.339,2061678,2.361,5788130,2.372,2845577,2.473,2109381,2.529,2379176,2.518,366782,2.529,3853090,2.753,1417170,2.865,405801,2.853,4934104,2.898,664170,2.999,135767,3.066,213037,3.133,11072107,3.032,2326248,3.144,1038721,3.189,1201313,3.334,1645841,3.267,3456009,3.290,2407559,3.279,602692,3.480,6406980,3.379,7714662,3.525,24580,3.659,863579,3.715,15823334,3.737,1602667,3.771,3620898,3.894,4099729,3.894,4088458,3.994,10801,4.017,11979565,4.185,12556480,4.185,9214369,4.229,10562488,4.386,150476,4.386,3784398,4.487,2564632,4.688,9933233,4.800,7565696,4.800,139139
!,!,MZ002H-Pool20-P004C3-S047-T12,MZ002H-Pool20-P004C3-S047-T12.d,Sample,,5/12/2016 4:22 PM,,,1.075,3088205,1.109,2744770,1.266,113355,1.534,617671,1.646,576259,1.601,25911,1.679,3485170,1.903,1053826,1.937,1600470,1.959,16593528,1.993,5939155,2.015,5357,1.981,2691044,1.993,817131,2.037,9730909,2.060,6595915,2.172,657503,2.205,136948,2.205,1879407,2.272,5629917,2.283,2103076,2.351,1788783,2.373,4618374,2.395,2572003,2.474,1900065,2.530,2342177,2.518,305260,2.541,3646838,2.776,1455416,2.854,410518,2.843,4310840,2.932,679190,3.011,72869,3.067,142658,3.145,11294342,3.055,2279909,3.145,858712,3.212,1359441,3.346,1771185,3.290,3509288,3.324,2768237,3.279,437035,3.469,2294214,3.380,7853058,3.503,99442,3.637,991323,3.704,18812203,3.671,1490623,3.760,4052916,3.816,3835995,3.816,3832684,3.995,10153,3.984,11486273,4.084,13222963,4.185,9441176,4.219,9619648,4.387,131839,4.375,3394569,4.487,2427508,4.689,7900115,4.800,6480389,4.800,39405
